does not equalB339867818843594756	246979971	0	@DoctorChristian scared to start fluoxetine, what's you're opinion on them? Xx
343011228425273344	99207792	0	Gonna ask to return to Lexapro bc Cymbalta not workin, also bc busking profits plummeted when I could no longer play crotch like steel drum
333940911522344960	80959341	0	No intravenous meds woop woop just 2 weeks of levofloxacin and minocycline tablets
341691915831480320	571580879	0	Wolf Blitzer gettin' the scoop: "Band member lost cymbal during national anthem" #SlowNewsDay Then they made a Cymbalta joke. Sponsored?
340562746762489856	32400826	0	@alldaysmith I covet your Bombay Sapphire....I can only afford Lidl own brand at the moment. And I'm not allowed gin and Prozac....
349350801463971843	260548786	0	What untaking? Quetiapine or Trazodone? RT @MzAnonymousB: Hoping these meds work for my insomnia
340451551766274049	600981465	1	@evann_lfc yea still a vampire as still on cipro wbu? Xx
342313735920160769	34106432	0	What happened with #MS is that Tysabri assoc w a serious deadly side effect,FDA pulled it,patient outcry brought it back @GoodmanBrenda
349620274334932994	566294953	0	@iron_mans_hoe ohhh, fluoxetine won't help for that ffs they're such idiots
348111410108178433	18606951	0	Off Paxil, back on Zoloft & cutting down. Also, cutting down my klonopin. Moving in the right direction. #progress #medtalk
341981313160593408	35434150	0	This years finals brought to you by Vyvanse.
345284872354541569	456705802	0	@hayleyh79 @PArthritis wow theyre switching me from 8 tabs to injections... Cant get Humira here unless the Welsh Gov say yes lol ....
340283349706874880	21277554	0	So it seems I'm one of those friends you can text and say, hey, do you have any spare Cipro? And I do. LOL
331046914051174400	1174143866	0	slutty ofloxacin
352109463978778625	14822935	0	@Xarelto how much do you charge for this drug? Fascinated by the names but less with the $$. #singlepayernow
329968406700904450	160053364	0	Alendronate + Cholecalciferol = Fosavance #Memorization
328929171562692609	301842486	0	Zoledronic acid linked to early increase in sclerostin levels: (HealthDay)-Women with postmenopausal osteoporosis treated with zoledr...
348756057201451008	273912739	0	New study suggests High-tech Enbrel no more effective than a cocktail of generic meds in rheumatoid arthritis http://m.europe.wsj.com/articles/a/SB10001424127887324634304578539820933391866?mg=reno64-wsj ...
332679101460647937	424611425	0	You are the light at the end if my tunnel and the cup to my Stanley. #Cymbalta
342742578514497536	65758417	0	Either I'm exhausted or this Paxil is working WONDERS cuz I ain't mad about shit
349114543420616704	21572529	0	No definitive recommendation on how/whether #cardioversion can be done on apixaban - SH Hohnloser #ehraeuropace
342275097945587713	39166405	0	"Why is she so talkative, is she on Paxil?" @Nnicole_Marie HAHAHAHAH
341630754175983616	180789461	0	@FrancisWalter Osteoporosis needs a cure. My mom suffered from it and I have it myself. I take Prolia twice a year. Grateful for that option
354207890338357249	625348364	0	@siphohotstix I hv a TV show idea which company do I register my rights with? Cipro etc @siphohotstix
344850903569948672	626092844	0	@kystikata Puts a lozenge in my mouth and feeds it to you BY KISSING YOU
341541504717840384	20872344	0	I hate being on cipro when it's sunny #cfproblems #rashy
343018659301711873	357291347	0	This #HUMIRA shot has me feeling like a normal human .. No pain no inflammation no nothinggggh #RAproblems
349564014533152768	575930104	0	a cedarwood is a creeper: lozenge-shaped, yet ungodlike
326663283228684288	296786819	0	Compston - women on 5 years alendronate have reduced risk of vertebral fracture, if ALN continued for further 5 years ^CN #Rheum2013
354302147036319744	84437614	0	@anwen ah I'm on 600mg quetiapine but as an anti psychotic. Not heard of those other two. Thanks.
331455785504751616	88166476	0	Hey, Hipsters, haven't you heard? Quetiapine is the new MDMA. #bipolarlifestylechoice
340273689348149249	203349923	0	My dad keeps saying he's need Prozac for his ADD.... I have reminded him 4 times that he means Adderall and he just can't seem to grasp it.
332457934212702208	517038027	0	@brofroradio @1035KISSFM Effexor works for my anxiety... no oooo weeeee needed! Lol ;)
342018128718479361	276770963	0	@dedemarieex3: #MyBoyfriendNotAllowedTo "vent" to other female ? wtf she aint dr.phil nor a therapist ? depressed ? get cymbalta.""
340555162638757888	54638986	0	"@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac." Not @english_frankie
341884537510457344	237815983	0	the worst possible day of the week to forget my vyvanse..... what do you know, I forgot my vyvanse. #todayisdoomed
340555170989621248	350559938	0	@Yo_LoLoLo "@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac."
344711791005290496	49414915	0	By the way @MixWithSprite U no I understand the vyvanse life I took a 70 and I was goin BAHAA
344827002508939264	1183956242	1	Geez this vyvanse makes me talk a mile a minute haha
342691695672057856	1460971	0	@Kirkby007 I believe that one is Tysabri. I was told same about Humira and cimzia so not sure what will happen.
348111257511002112	515713247	0	TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills
333282708300132352	20462538	0	@ETPC1 all anti depressants have a chance of that happening, I don't think Paxil is much higher.
340180531025174528	1258552824	1	my nigga dante addicted to that nicotine
344230350001684480	485835908	0	Cymbalta where r u?
342345314411352064	365706814	0	Thanks for helpin' me clean and vacuum out my car vyvanse
349829681241010176	22717141	0	For causal inference, the VRA debate raises question of effect under treatment ("Prozac") vs effect after treatment ("Cipro").
333104075128332288	15055035	0	@Ardiril Yeah, I ran out halfway through the week and forgot to put the new bottle into my organizer. Metoprolol. Better now.
332166258600591361	42265339	1	The 100mg tabs of trazodone my gp prescribed are too much, now that I don't take them every night. Still zombieish after an hour awake.
345176048679411713	621347629	0	So glad I had this vyvanse ! To work I go !
341896796290822145	424298466	0	85mg of vyvanse should help me pass
340799069637201920	893347578	0	#Pavosic was used BID in patients with neuropathic pain taking Lyrica alone or with Cymbalta. This addition provided more pain relief.
341063958020620290	27217483	0	i need a lozenge
350662487965839360	172880398	0	Nigga + paxil = Nigga please .....
329167049882492929	339220082	0	@Gingersquirrel ...could mean I'm going high again. But I have extra quetiapine I can take, just in case.
345470115325808640	240094239	0	sCTX & P1NP thru Yr7: 1st inj Denosumab after 3y PBO lead to rapid, good suppression. Sustained. #EULAR2013 #osteoporosis
342498476313174016	1446418344	0	Don't say no to pills! Latuda won't kill!
340740174638092288	720961260	1	@stacymadern thats the prob with Zyprexa its for ppl with Bi-Polar or Schizophrenia its really strong when you wake up your drowsy for 6 hrs
349139925746192384	245484569	0	@FerryCorsten @FerryCorstenCC #ListenersChoice #CorstensCountdown 313 Zehavi & Rand - Paroxetine (Majera Remix) Hopefully not played :D
352461993740996608	86295814	0	Vyvanse for work is such a good idea damn
343010478882181120	375110726	0	? From an #crohnie: have any of u experienced weight gain on humira? And why? Notice u eat more or eat the same but just gaining weight?
354334544473751552	339220082	1	Since quetiapine's messed with my prolactin levels, making my boobs humungous & my bras so expensive, I want a lingerie component to DLA.
340518863194181632	221049630	0	@prozac someday though...
340290256198836225	130824183	0	Things I would give up for a #Heat loss tonight: Nicotine, Secret Obsession of Bubble Gum Pop music, TMZ, and The Voice. #NBAPlayoffs
352897491672375298	14185809	0	According to old attractive actresses all women need to do is eat Activia and take Boniva
340361333461643264	830185352	0	"@RaeeLovesJays: I wanna stop smoking so bad" nicotine feen
348349585070108674	244856847	0	3) Oh, Will, you poor man, they put you on Effexor. Which, as it happens, is actually an antidepressant. Fact check, guys. #TheNewsroom
332375872763998209	19741858	0	@janhopis no, I was (and am) on venlafaxine. I have a non-problematic heart arrhythmia, so I guess that's when it's problematic...
347917289749876738	495060869	0	Cipro is poison and Big Pharma knows it
332455402979610624	193278438	0	@willentrekin I had a physician comment it would be better for my seizures if I lived in a medical m. state instead of the lamictal.
341178969535705088	386313872	0	@arioch1970 < Seroquel - at high doses its for psychotics at a low dose it helps anxiety, depression & insomnia. 25mg I can finally sleep.
332596527031783425	1184814187	1	@stark3923 cipro has a known warning of weakening the Achilles tendon. ...
330744100888387585	234565971	0	treatment: 1) antibiotic therapy: cotrimazole, ciprofloxacin,cephalosporin,amoxycillin
349468860673572864	23036640	1	Screw you Paxil! You do wonders for anxiety but you make me a ultra lightweight
350019654330220549	1522959193	0	@Anak_Bijak I see you talked about Latuda a while back. I just started on it last week. Has your experience with it been positive?
327263948686643200	1367532704	0	@thinprettybones not everyone gains wt when they quit. Some meds that help you quit (Zyban & Nicotine lozenge) prevent wt gain.#quitsmoking
342574463075897344	52742277	0	Headed to work, got a solid 3 hours of sleep last night and forgot to take my vyvanse.. #thisshouldbefun
346631270186491905	80910941	0	"The diagnosis of depression didn't become popular in Japan until Glaxo-SmithKlein got approval to market Paxil in the country." - Ibid.
340451921804550144	464579148	0	Can't listen to these American bints at the table next to me go on about how Prozac is clearing their 'anxiety' of life any longer
348292912972443648	16286112	0	Going to the store for some hypnotic drinks to wash this Seroquel down with ;)
354450476751790080	1236808052	0	also my dildo and buttplug which i will probably never use again now that im on lamictal and lithium :|
340261355691069440	61271528	0	@chubachups it was mega hard. Glad on the up now. Had to agree wiv doc that i went on prozac cus that womem.sucked me.dry until o cracked x
340585242148630528	792459104	0	Lidocaine is my savior right now! It's the ultimate throat lozenge! #dontsharecigars
349587007296651264	32430440	0	RT: If you're using #Humira today. Learn how @Vic_D_x is teaming up to fight back pic.twitter.com/sFPpTOqw #TeamCrohns
330739551385575425	364968711	0	Marketing Idea: fluoxetine & docusate sodium. Brand Name "relaxatives"
341730155456237569	310519712	0	I've got vyvanse for anyone in summer summer school
349202411392491520	311803232	0	wooooo finally got levaquin!!! so pumped finally I'm gonna get better #monthlongsickness
343376785108512769	23797717	0	My rheumatic doc said I could take baclofen and norflex together (both are muscle relaxants). I took both, though an hour apart, earlier...
346779875014754304	754355587	0	My humira shots need to come NOW. #sosick
342220465407930370	1591341	0	@Zymymar it seems to be having an effect already. Took Zoloft in 2000, and Effexor XR in 2006-2008. This was my specific choice.
347464698217775104	134025268	0	Report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity.http://nej.md/11MAcpw
346595134428827649	143408276	0	Oops, thought I had plenty of Pristiq left, realised I actually only have 2 days worth left. Luckily I can go to the pharmacy tomorrow!
353708591380832257	561853764	0	Why is there a full four-page medical guide for Xarelto tablets in my *TV* guide issue? Somethin' ain't right here.
340556629948895232	1267257498	0	"@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac." To bad I hate bananas
354281812417200130	468443315	0	Xarelto: Encouraging men to order something new at the diner and take a wrong turn, cuz fuck that.
347811267223879680	771455	0	@diannaeanderson High five! Effexor and therapy have helped with my functioning, my productivity, and at times with my not being dead.
346631203698393088	315201942	0	"Thanks, Enbrel." -- Phil Mickelson, yesterday around 7PM
347745668976226304	116291020	0	Is it 630 yet?!? I'm ready for a free dinner and drinks thanks to Effient
342301999347421184	632514965	0	I'd appreciate it if i could just sleep for like 2 or 3 days straight. Pop a Trazadone & be out #iwish
340331872133459969	1447277893	0	@DoctorBlueDream and when I came off Prozac the cycling started again. I would go from being down to being extremely manic and evil >>
341749939212255232	547060780	0	:'( "@_DrOnDuty: LOOL "@Britne__: LAWL RT @PelvisThrustly: Animals are committing suicide. Depression hurts. Cymbalta can help. #TeenWolf""
354234746458476544	172254552	0	@AbbyRummage Try Bonivapic.twitter.com/EDOaQiCKRp
343470553056813056	847268796	0	@rfdsdoc @traumagasdoc @richardbogle @MDaware @PharmERToxGuy @umanamd esmolol to see if BP will tol, then metoprolol
349522573593288704	79821371	0	"Please stop asking me if Enbrel is right for you" -- Dr. Dre
350329667154231297	1294722690	0	@pippaliciousj @mamasick I'm going through the same, it's so hard isn't it! Glad to hear about duloxetine .. Started mine a week ago!
344510993285664768	64712361	0	@AmyBadkin I'm sorry to hear this rheum sistah! Any news on Humira?
331581063631630337	48027092	0	@Joyster2012 It's not considered a good idea to take valerian with venlafaxine (which I'm on) sadly.
340260780266123264	470513259	1	I am way too hyper to go home and do nothing tonight :( damn Prozac >.<
346611408772923393	1081655209	0	@trishwesley No just going to continue taking my Cipro which helps alleviate some of the pain until I see the neurologist the 25th
333622157315829761	826663129	0	Don't have to be all deep & emotional every day... Damn. My TL makes me want to pop Xanax or cymbalta or whatever sometimes
344629043716554752	336085406	0	You know some has has just took their Vyvanse when they favorite 10 or more Vyvanse Swag tweets in one sitting.
352819630613598209	1528233079	0	does fluoxetine (anti-depressant) make you gain weight? id rather be sad then be fat :c
347122349600026624	107651376	0	@amyjanesays Yikes, thats scary stuff. I've taken Enbrel b4, been trying other things & havent found anything that works. Thx 4 the heads up
350598420362297344	26015134	0	#PaulaDeen may have been paid $6 million for her endorsement of Victoza. Drug Maker Suspends Deal With Deen --http://mobile.nytimes.com/2013/06/28/dining/diabetes-drug-maker-suspends-deal-with-deen.html ...
340556670247768064	26406149	0	@dadalife RT @UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.
340556688627216384	273139304	0	"@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac." @ETaylorX
341361144008679425	368523474	0	Depression hurts, Cymbalta can help.
333031544459505664	301055140	0	@Get_Out_MyFace It was actually me. PLOT TWIST!!! Now text me back, or I will go into a depression that even cymbalta can't fix
344583472830107648	24938910	0	@tramonby Enbrel is a biologic, a drug used to treat RA. It works by reducing active Tumor Necrosis Factor (TNF), which > inflammation.
347373468116983809	220746552	0	Still itchy everywhere, but no rash, so, more Lamictal it is.
346488248320794624	97567146	1	Rivaroxaban 2/2 lower back pain. Not very PC but am crippled by this drug. Taking more paracetamols. Must ring for 'phone consultation.
347140401553084419	161729720	0	@Kirkby007 had crap day. Had scope, but had to be stopped as am severely ulcerated. Going back on humira to combo with new drug i on. &
340256955073449985	185095626	0	@meghaanc we need Starbucks patches like nicotine ones lol
347149965631553536	847864712	1	@dougmoneybags quetiapine. Very low dose even with increase. Helps me get to sleep (& eat in general) but feel really groggy in the morning
341689297503662080	1278994680	1	That nap was on point.... Cymbalta did that shit cuz I dont take naps...ever
347464905236025344	790958456	0	Report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity.http://nej.md/11MAcpw
349369394251575296	1264911769	0	Thank you... *takes the lozenge*
341989614153785344	40519934	0	@IntervalThinks @newscientist Give them Prozac - not!
347245586157817856	19162446	0	@downunderchick You need seroquel. I have some if you want ;)
350511451854737408	1401378956	0	"@K_Maaack: Fuck it I'm depressed..." Cymbalta can help.
344177203703074816	612245055	0	I AIN'T EVEN FEEL IT YET THO, JUST BARELY TOOK IT.. ALREADY ATE A BIT, AND DRINKING A CALCIUM-ENRICHED SMOOTHIE LOLOL #vyvanse
341926185359519744	268327984	0	@helloimmarta @mary_ey @prozac so no liverpool gig? Ok, and uhm, how will we move from town to town? (i'm looking for flights righ now)
351720684168282113	193719000	0	Outbreak hipster: "I was into Levaquin-susceptible methicillin-resistant Staphylococcus aureus before it was cool." #fuckMRSA #NoOffenseMrsA
340371614715768832	196155987	0	Smoking can make ur nipples fall off & turn them purple because nicotine & carbon monoxide disrupt the blood flow in nipples @tiffanyhudsonx
341767085216645120	289096178	1	I wish I could be tired. Shouldn't have taken the vyvanse. Now I'm never sleeping.
341121734126231552	323112996	1	@Jakefletcha @Becki_65roses Cipro is real bad on your entire body! Take it from me (on disability since '09 thanks to just 12 pills).
341735553475149824	506534353	0	Depression hurts cymbalta can help
353356706547380225	1525490534	0	@BruceEricKaplan @JuddApatow is this an ad for Paxil?
349348556513091585	17248031	0	I now have two weeks off work because of drastic meds change which involves coming off Pristiq cold turkey. Do. Not. Want.
347211038585917440	1370906497	0	LLY_$52.35_results of pre-specified safety analysis from theINTREPID trial evaluating the effect of LIVALO in HIV-infected with dyslipidemia
343561480983150592	235274526	0	Depression Hurts. Cymbalta Can Help.
342984174799581186	331431805	0	Does anyone have a lozenge? *Kam Voice*
343429943201521664	408751900	0	Vyvanse and Coffee.. I just beat the shit out of that ACT.
341530146165104641	116942462	1	This cipro is totally "killing" my tummy .. hiks..
340235930159968256	306322436	0	@JoshCollett13 @Rods_10 I can get you anything, you need weed, you need Prozac- I know how you white boys get depress, smile your white!
330565988187766784	388286396	0	@bebipinku only on 40mg of fluoxetine a day omfg
332511485043548162	1038937922	1	I'd rather be on the Effexor that made me happy though I had severe back pain from it.. Than sad and crying for no reason on lexapro....
330441052152528897	405854637	0	@Ollerspure They call me dr fluoxetine amongst other things
332717404960464897	1416571692	0	You know that commercial.. DEPPRESSION HURTS CYMBALTA CAN HELP.. Their lying..
342206454083764224	26707129	0	Friends in d medical profession,I just wanted 2 b absolutely certain.If you guys can help me out,Ciprofloxacin is an antibiotic for UTI ryt?
342747139908190210	206955948	0	This cymbalta commercial on tv right now lmaooo like all they're advertising are the side effects and people still don't care * sigh*
340555498820620289	96571746	0	"@UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac."
330325184672321537	338744790	0	@WillsDill heavy metal pumping through the veins! Right on! Or not... I used the nicotine free ones. don't even try lozenges, fuckin gross.
332964900492177408	360614400	0	My Motto Depression Hurts Cymbalta Works Love Fades Advil's There :D
349060806245240832	135627441	1	Question time #crohns #ibd #humira does anyone suffer from egg burps? What works for you
341975664322281472	386860099	0	My vyvanse is kicking in. I can feel it.
332551854238097409	291365053	0	@DoctorChristian @keirshiels ever heard of NMS with Venlafaxine
340959082049568770	122518638	0	Anyone taking effexor? And do u drink on it?
344899191669153792	608748717	0	If I stopped second guessing and doubting I would find I do know this stuff. #ptcb #studying #beautifuloutside #adderall #vyvanse
342339001132400641	263760981	0	@britneyspears I love you so, I heard you was BORDERLINE like me... #SEROQUEL
350118477203378176	368695968	0	Humira can lower your risk to fight infections
345114505111543809	18628014	0	@spacecowboy2014 I inject Enbrel once a week which helps xx
346362048831172608	244652082	0	Phil Mickelson is looking pretty good today. He must be filming his next Enbrel commercial. #usopen #arthritis
350195211005210625	39897370	0	@Paula_Deen I think this whole thing is out of control. Thanks to you I am on Victoza and doing great.
351019965953998852	629790491	0	@lobeline @mikedelic yeah I hear you. I'm currently on seroquel too for my most intense crazy (I can tell you so many stories)
340257265728749569	109336603	0	@YesterdaysKid And how does it help? If they r addicted to nicotine (sp?)
329328727903326208	296755261	0	@DoodahM yea he said lamotrigine ( lamitcal) or keppra :p
340257373228769280	23713586	0	for the love of god if my mom doesn't go to the pharmacy soon im gonna freak out. also someone go get me the patch cuz i need #nicotine
340557619666251776	120196603	0	RT @UberFacts: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac.
347425504422395904	77068997	0	@CharlesTrippy ask your doctor about taking lamictal for your seizures! Its definitely helped my mom. Just a suggestion.
347784229842726913	97567146	1	19.32 day 20 Rivaroxaban diary. Still residual aches and pains; only had 4 paracetamol today.
331338155691229184	273421529	0	Guess what? Still feeling weird. Fuck you Quetiapine. Fuck you.
351702122204635136	18847944	0	@samledabb i need paroxetine 40mg but I rang the doctor and can get 20mg tomorrow and another box of 20mg thurs so will cling to these!
343565496320417792	369114238	0	Im bout to slip some of my seroquel into her drink. She gonna be knocked
346402455766044672	501391448	0	All the medications advertised during news shows sound like they could be the stage names of alien strippers #xarelto
349198429760679937	316909345	0	"@JakeInRealLife: *batman voice* do you have a lozenge" @lakyn_presler You're gonna miss me
348815695800303616	55063378	0	@ReachMD's Dr. Matthew Birnholz interviews top diabetes experts at the INVOKANA booth today. Catch the interviews starting @ 10AM! #2013ADA
348887628143280128	59846819	0	@dsymons I haven't tried Plaquenil since college. Plus it was before biologics came out. This inspires me to reconsider it w/Enbrel. #rheum
349792107667525632	15440447	0	Dear lord. Bieber madness hits the town tomorrow. Bring on the Paxil.
333318769009098752	51610877	0	Who will hook up and who overdoses this week on It's All Gone Fucking Wrong? We will need a couple psychiatrists with unltd Seroquel.
342018311518826496	226293827	0	if anyone wants vyvanse hmu
349494868718002176	15285788	0	IPAB asks Controller General of Patents to reconsider Pradaxa patent application. Says product is not new or inventive #India #patents
344620649458827265	136798873	0	@susanhasas What is DHE - is that another term for Humira? Wow. Glad that helped your migraine!
332929784113922048	489761706	0	I would love to switch my Zyprexa for Xanax.
340271268437848064	1123283994	0	Even if someone continues to USE METH, WITH QUETIAPINE, the meth receptors are spared and you don't spiral into lethal depression.
352464099428417536	299239981	0	@mjseres doing great. Stopped Humira 6 weeks ago. Patient driving dr. So much better off it. Best in years! Be well.
331249477300150273	745735076	0	"What does Ciprofloxacin treat?" "gonorrhea" "Well I promise I don't have that!" #medicinecabinet
343376431864229889	1061562434	1	why do I not remember going to bed or waking up (the answer: probably seroquel)
345982538260574208	300917070	0	Hot topic on #obesity pharmacotherapy at #endo2013 and #clinical trials on naltrexone-bupropion and #liraglutide in progress @TheEndoSociety
344556176631025664	1483206594	0	the cymbalta commercial is so depressing
351786309645385728	22929549	0	Can six hours be called a nap? o.O Thanks, Enbrel. Um... at least I slept? LOL! Oh, well. This is why I take Mondays off. Writing tomorrow.
332351420722458624	126109927	0	Depression is real. Cymbalta helps... Lol!
340527226258849792	344202706	0	Some people need to lower their "prozac" dose! This rainbow & lollipop talk makes me wanna vomit a little... @tanyagodin ...
344600035691991041	263347908	0	who got the vyvanse hookup need it 4 2moro
329686730926084096	156467227	0	Not ready to kick the habit? Try nicotine lozenges. They help users cut back even when they thought they didn't want to quit.
341630520586809344	620522704	0	Bananas contain a natural chemical which can make a person happy. This same chemical is also found in Prozac.
348130841223901185	57512140	0	TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills
348507166275153920	28094698	0	We've updated several of our fact sheets, incl. this one on Adalimumab (Humira ) during #pregnancy /breastfeeding-http://ht.ly/mgFCe
329643623660519424	1339675818	1	Only one day in and Mirtazapine is like fluoxetine all over again, it just makes me so tiered
344621740707680257	177471273	0	I wash Vyvanse down with caffeine everyday... but then I can slam a five hour energy.. and you can't..
332223414595117056	52782775	1	Just about dead, think it's bedtime.. Fuck you quetiapine
352558974798802944	241292532	0	@heySMM hey, I take Cymbalta too. We can be Pill Pals!
351307640414011394	492168041	0	@david82wilkins Yes definitely ask the doctors then next time, but cipro is a super drug :-)
349064783061983232	817711393	0	Ciprofloxacin and levofloxacin use most extensively in children B/C on basis of past experience, these drugs appear to be well tolerated.
341587332069220352	36958284	0	:'D RT @Cleo04patra: I am the throat lozenge Gwede Mantashe refused.
346096906985938945	218000930	1	The day after Humira used to be a great one, full of energy, low pain. After a month, it is now a fatigue filled achy day. #rheum
343948508765753345	31020718	0	uhm as I take my cymbalta for the first time in months & literally feel my brain exploding lol great sign!!!
342368669126520833	271514417	0	@AshleyStites took a vyvanse, feel great now ha
345624026254823424	237121375	1	Day has been a right off. Missed opticians&slept aw day. Sitting here torn faced, wi greasy hair&unwashed. Swollen feet thx to olanzapine.
348773699861745664	47504302	0	I can't sit and listen to more than one Nas song at a time. Nigga be spitting that musical Seroquel
332664920418185216	1305323838	0	I agree w/ @MarkEiglarsh . She's faking it. they know it, but they're basicly 51/50 ing her. @DrDrewHLN I'm sure the "medication" is Zyprexa
343767924173045760	402224137	0	On Vyvanse so you know I'm feeling good
332315635445035009	546151624	0	@LonnieBeats Depression hurts, Cymbalta can help lol
340280014962561024	314858601	0	Running on nicotine and vodka
348111162635874305	15884394	0	TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills
347664794410708993	624712647	0	@rfdsdoc @Damian_Roland Olanzapine being added to policy at @alderheykids - awaiting approval from medicines management (so not incl here)
340265840320606209	79925853	0	no tobacco day OR no nicotine day?
348894274470948864	41822846	0	Did one shot of Enbrel, but chose the infusion rather than self injection. Don't know what he has in mind. Hoping for success. #rheum
346700069149483009	22493928	0	@thebeecharmer97 @danadelany those r common bacteria species causing sinusitis so if no improvement will need Avelox or Levaquin. :)
341180265055547392	20439615	0	@phumlanimfeka but none of them are registered with CIPRO, ot can be found online except for your who's who entry? @ulrik_s
